name, numb_real_crossings, numb_simulated_crossings, numb_crossings_near_structure
"Cassidy",50,97.997,2
"Catherine",109,117.682,0
"Dave",885,1012.665,4
"Michele",177,445.307,4
"Nala",192,1030.004,71
"Teddy",2338,4743.088,31
"Minnie",2697,2100.792,0
"Charlie",1014,3274.163,229
"Steve",2918,3865.998,3
"Rocky",4986,4597.9,9
"Braeden",4379,3892.491,12
"Jonathan",3673,3691.637,40
"Hal",2141,2224.324,1
"Sweetwater",2389,2258.014,0
"Sadie",3109,3096.469,0
"Ben",2501,2746.344,0
"Jack",219,181.421,0
"Bunny",1795,1580.236,0
"EmmaClaire",5478,6028.695,8
"Cynthia",4649,4977.264,0
"Sylvia",2408,1481.878,0
"Shannan",3020,2431.611,0
"Elsie",1577,1870.057,4
"Carrie",4727,6518.58,12
"Lisa",4388,3740.578,0
"Daphne",6560,6898.887,9
"BobbiJo",5504,6620.556,56
"Luna",4392,5153.962,0
"Wyatt",3811,6491.759,87
"Beverly",8447,8731.743,4
"Margaret",3941,6809.58408408408,41
"Avery",7470,7890.905,16
"Morgan",6992,6657.14692653673,96
"Val",7282,10667.893,71
