"position","velocity"
18324.0538663317,2590.50281536203
98694.6816985549,NA
12327.8150794336,3492.68199940026
16621.7252793572,1858.24899401505
64520.3722609641,3186.1472953221
28896.7527057233,5709.45635436442
49500.9324320853,NA
29084.9270697521,NA
12560.9560416724,12560.9560416724
36718.9007954344,1767.08220364394
25536.5761922019,2348.25791062385
Inf,NA
23296.3469032552,1004.33144108385
9524.67904439651,9524.67904439651
21419.3072923416,1697.52921652927
32536.1263944199,2799.12061568705
79910.0968467192,NA
18228.3092816199,18228.3092816199
33477.645777514,3369.99003684567
15054.1517679156,5393.92944584533
18475.9563187307,NA
41565.7222817071,716.911358454292
49560.6999303572,NA
21464.3382442694,NA
20991.3306291141,3628.88251133037
110660.084599417,NA
22328.0347874374,4530.21375280354
21146.9484515115,3745.69769707275
31514.7669064228,2200.15439500117
37326.9972029587,4057.21248853902
53315.2387209264,2627.7336898947
36744.836430516,3949.6618003367
Inf,NA
26150.5330602302,3554.91521095965
21912.5949069955,3162.76322699436
